编码,中文名称,拼音名称,区域级别,上级区域编码,短名字,后缀
823000,路氹城,lu dang cheng,3,820000,路氹城,
824000,路环岛,lu huan dao,3,820000,路环岛,
141100,吕梁市,lu liang shi,3,140000,吕梁,市
410300,洛阳市,luo yang shi,3,410000,洛阳,市
411100,漯河市,luo he shi,3,410000,漯河,市
340500,马鞍山市,ma an shan shi,3,340000,马鞍山,市
440900,茂名市,mao ming shi,3,440000,茂名,市
511400,眉山市,mei shan shi,3,510000,眉山,市
441400,梅州市,mei zhou shi,3,440000,梅州,市
510700,绵阳市,mian yang shi,3,510000,绵阳,市
231000,牡丹江市,mu dan jiang shi,3,230000,牡丹江,市
511000,内江市,nei jiang shi,3,510000,内江,市
542400,那曲地区,na qu di qu,3,540000,那曲,地区
360100,南昌市,nan chang shi,3,360000,南昌,市
511300,南充市,nan chong shi,3,510000,南充,市
320100,南京市,nan jing shi,3,320000,南京,市
450100,南宁市,nan ning shi,3,450000,南宁,市
350700,南平市,nan ping shi,3,350000,南平,市
320600,南通市,nan tong shi,3,320000,南通,市
411300,南阳市,nan yang shi,3,410000,南阳,市
330200,宁波市,ning bo shi,3,330000,宁波,市
350900,宁德市,ning de shi,3,350000,宁德,市
533300,怒江傈僳族自治州,nu jiang li su zu zi zhi zhou,3,530000,怒江,傈僳族自治州
510400,攀枝花市,pan zhi hua shi,3,510000,攀枝花,市
211100,盘锦市,pan jin shi,3,210000,盘锦,市
410400,平顶山市,ping ding shan shi,3,410000,平顶山,市
620800,平凉市,ping liang shi,3,620000,平凉,市
360300,萍乡市,ping xiang shi,3,360000,萍乡,市
350300,莆田市,pu tian shi,3,350000,莆田,市
410900,濮阳市,pu yang shi,3,410000,濮阳,市
530800,普洱市,pu er shi,3,530000,普洱,市
230900,七台河市,qi tai he shi,3,230000,七台河,市
230200,齐齐哈尔市,qi qi ha er shi,3,230000,齐齐哈尔,市
429005,潜江市,qian jiang shi,3,420000,潜江,市
522600,黔东南苗族侗族自治州,qian dong nan miao zu dong zu zi zhi zhou,3,520000,黔东南,苗族侗族自治州
522700,黔南布依族苗族自治州,qian nan bu yi zu miao zu zi zhi zhou,3,520000,黔南,布依族苗族自治州
522300,黔西南布依族苗族自治州,qian xi nan bu yi zu miao zu zi zhi zhou,3,520000,黔西南,布依族苗族自治州
450700,钦州市,qin zhou shi,3,450000,钦州,市
130300,秦皇岛市,qin huang dao shi,3,130000,秦皇岛,市
370200,青岛市,qing dao shi,3,370000,青岛,市
441800,清远市,qing yuan shi,3,440000,清远,市
621000,庆阳市,qing yang shi,3,620000,庆阳,市
469002,琼海市,qiong hai shi,3,460000,琼海,市
469030,琼中黎族苗族自治县,qiong zhong li zu miao zu zi zhi xian,3,460000,琼中,黎族苗族自治县
530300,曲靖市,qu jing shi,3,530000,曲靖,市
330800,衢州市,qu zhou shi,3,330000,衢州,市
350500,泉州市,quan zhou shi,3,350000,泉州,市
540200,日喀则市,ri ka ze shi,3,540000,日喀则,市
371100,日照市,ri zhao shi,3,370000,日照,市
411200,三门峡市,san men xia shi,3,410000,三门峡,市
350400,三明市,san ming shi,3,350000,三明,市
460300,三沙市,san sha shi,3,460000,三沙,市
460200,三亚市,san ya shi,3,460000,三亚,市
540500,山南市,shan nan shi,3,540000,山南,市
440500,汕头市,shan tou shi,3,440000,汕头,市
441500,汕尾市,shan wei shi,3,440000,汕尾,市
611000,商洛市,shang luo shi,3,610000,商洛,市
411400,商丘市,shang qiu shi,3,410000,商丘,市
310100,上海市,shang hai shi,3,310000,上海,市
361100,上饶市,shang rao shi,3,360000,上饶,市
440200,韶关市,shao guan shi,3,440000,韶关,市
430500,邵阳市,shao yang shi,3,430000,邵阳,市
330600,绍兴市,shao xing shi,3,330000,绍兴,市
440300,深圳市,shen zhen shi,3,440000,深圳,市
429021,神农架林区,shen nong jia lin qu,3,420000,神农架,林区
210100,沈阳市,shen yang shi,3,210000,沈阳,市
420300,十堰市,shi yan shi,3,420000,十堰,市
659001,石河子市,shi he zi shi,3,650000,石河子,市
130100,石家庄市,shi jia zhuang shi,3,130000,石家庄,市
640200,石嘴山市,shi zui shan shi,3,640000,石嘴山,市
659007,双河市,shuang he shi,3,650000,双河,市
230500,双鸭山市,shuang ya shan shi,3,230000,双鸭山,市
140600,朔州市,shuo zhou shi,3,140000,朔州,市
220300,四平市,si ping shi,3,220000,四平,市
220700,松原市,song yuan shi,3,220000,松原,市
320500,苏州市,su zhou shi,3,320000,苏州,市
321300,宿迁市,xiu qian shi,3,320000,宿迁,市
341300,宿州市,xiu zhou shi,3,340000,宿州,市
231200,绥化市,sui hua shi,3,230000,绥化,市
421300,随州市,sui zhou shi,3,420000,随州,市
510900,遂宁市,sui ning shi,3,510000,遂宁,市
654200,塔城地区,ta cheng di qu,3,650000,塔城,地区
711000,台湾省,tai wan sheng,3,710000,台湾,省
331000,台州市,tai zhou shi,3,330000,台州,市
140100,太原市,tai yuan shi,3,140000,太原,市
370900,泰安市,tai an shi,3,370000,泰安,市
321200,泰州市,tai zhou shi,3,320000,泰州,市
130200,唐山市,tang shan shi,3,130000,唐山,市
120100,天津市,tian jin shi,3,120000,天津,市
429006,天门市,tian men shi,3,420000,天门,市
620500,天水市,tian shui shi,3,620000,天水,市
211200,铁岭市,tie ling shi,3,210000,铁岭,市
659006,铁门关市,tie men guan shi,3,650000,铁门关,市
220500,通化市,tong hua shi,3,220000,通化,市
150500,通辽市,tong liao shi,3,150000,通辽,市
610200,铜川市,tong chuan shi,3,610000,铜川,市
340700,铜陵市,tong ling shi,3,340000,铜陵,市
520600,铜仁市,tong ren shi,3,520000,铜仁,市
659003,图木舒克市,tu mu shu ke shi,3,650000,图木舒克,市
650400,吐鲁番市,tu lu fan shi,3,650000,吐鲁番,市
469022,屯昌县,tun chang xian,3,460000,屯昌,县
469006,万宁市,wan ning shi,3,460000,万宁,市
371000,威海市,wei hai shi,3,370000,威海,市
370700,潍坊市,wei fang shi,3,370000,潍坊,市
610500,渭南市,wei nan shi,3,610000,渭南,市
